rank_13,rank_12,institution,country,size,focus,research,age,status,academic_reputation_score_13,academic_reputation_rank_13,employer_reputation_score_13,employer_reputation_13_rank,faculty_student_score__13,faculty_student_rank_13,citations_per_faculty_score_13,citations_per_faculty_rank_13,intl_faculty_score_13,intl_faculty_rank_13,intl_students_score_13,intl_students_rank_13,overall_score_13
338,398,UNIVERSITY OF WARSAW,PL,XL,CO,VH,5,A,53.4,203,57.6,227,38.5,401,9.7,401,9.5,401,7.8,401,37.8
341,368,GRIFFITH UNIVERSITY,AU,L,FC,HI,3,A,34.8,362,54.1,255,27.5,401,18.9,401,92.6,86,87.0,98,37.7
341,293,UNIVERSITY OF SOUTH AUSTRALIA (UNISA),AU,L,CO,VH,2,A,33.0,389,52.6,265,37.1,401,16,401,100.0,6,70.4,170,37.7
343,308,MASSEY UNIVERSITY,NZ,L,CO,VH,4,A,36.5,348,49.2,301,33.3,401,21.6,401,93.0,83,41.0,323,37.3
343,401,UNIVERSITY OF PORTO,PT,XL,FC,VH,5,A,50.1,222,41.1,373,25.8,401,33.8,362,10.5,401,10.9,401,37.3
345,350,UNIVERSITAT POLITÈCNICA DE CATALUNYA,ES,L,CO,VH,3,A,38.1,333,32.0,401,65.6,186,14.4,401,14.2,401,37.6,347,37.2
346,349,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),IN,M,FO,VH,4,A,36.0,352,59.0,217,26.0,401,57,205,,,1.0,401,37.1
347,327,CITY UNIVERSITY LONDON,GB,L,CO,HI,5,A,33.3,379,64.0,182,23.7,401,15.1,401,87.8,111,99.7,20,37.0
348,392,AMERICAN UNIVERSITY IN CAIRO,EG,M,CO,HI,4,B,33.3,380,69.5,145,54.5,260,3.5,401,97.4,51,,,36.9
349,324,DUBLIN CITY UNIVERSITY (DCU),IE,M,CO,VH,2,A,25.4,401,54.5,251,44.7,365,23.7,401,86.9,120,61.0,204,36.8
349,401,PONTIFICIA UNIVERSIDAD JAVERIANA,CO,L,FC,MD,5,B,49.7,224,67.3,159,45.0,361,2.1,401,8.2,401,4.1,401,36.8
351,362,JAMES COOK UNIVERSITY (JCU),AU,M,FC,VH,3,A,22.0,401,32.5,401,36.3,401,49.7,247,93.6,79,48.0,277,36.5
352,371,NOVOSIBIRSK STATE UNIVERSITY,RU,M,FC,HI,4,A,32.7,395,24.8,401,87.3,98,5.2,401,4.9,401,35.3,366,36.2
353,296,RENSSELAER POLYTECHNIC INSTITUTE,US,M,CO,VH,5,B,17.3,401,21.5,401,41.4,399,81.2,81,8.4,401,40.1,331,36.1
353,401,UNIVERSIDADE NOVA DE LISBOA,PT,L,FC,HI,3,A,35.2,359,51.7,272,44.6,368,19,401,46.8,271,34.0,376,36.1
355,,UNIVERSITÉ AIX-MARSEILLE,FR,XL,FC,VH,5,A,48.1,238,28.2,401,27.9,401,27.3,401,7.7,401,47.5,280,36.0
355,326,UNIVERSITI SAINS MALAYSIA (USM),MY,L,FC,VH,4,A,48.1,239,42.6,360,33.8,401,13.2,401,20.3,401,39.3,337,36.0
355,358,UNIVERSITI TEKNOLOGI MALAYSIA (UTM),MY,L,CO,VH,5,A,32.2,401,40.6,380,62.2,203,3.2,401,37.1,326,79.6,125,36.0
358,344,UNIVERSITÉ PARIS DAUPHINE,FR,M,SP,MD,3,A,35.0,360,93.7,44,18.2,401,6.9,401,55.6,237,92.5,69,35.9
358,385,UNIVERSITY OF COIMBRA,PT,L,FC,HI,5,A,46.3,252,31.5,401,19.8,401,36.3,343,6.1,401,51.2,257,35.9
360,331,BRUNEL UNIVERSITY,GB,L,CO,VH,3,A,24.4,401,35.3,401,28.5,401,35.7,347,95.6,63,95.9,53,35.8
360,334,KING ABDUL AZIZ UNIVERSITY (KAU),SA,XL,FC,HI,3,A,38.2,331,29.2,401,53.2,271,2.7,401,77.3,165,48.7,273,35.8
362,341,EWHA WOMANS UNIVERSITY,KR,L,FC,HI,5,B,30.9,401,43.7,348,59.5,227,16.9,401,23.2,401,45.7,291,35.6
363,451,NANKAI UNIVERSITY,CN,L,FC,VH,4,A,37.3,338,41.2,371,46.5,345,28.4,401,3.3,401,24.0,401,35.5
363,323,TAIPEI MEDICAL UNIVERSITY,TW,M,FO,VH,4,B,24.7,401,32.3,401,56.7,241,43.4,288,27.9,380,16.0,401,35.5
363,376,UNIVERSITÄT JENA,DE,L,FC,VH,5,A,32.5,399,18.2,401,40.0,401,52.7,231,21.4,401,18.3,401,35.5
366,338,RUHR-UNIVERSITÄT BOCHUM,DE,XL,FC,VH,4,A,35.8,353,35.2,401,33.1,401,32.6,371,42.3,288,44.4,299,35.4
366,,UNIVERSITY OF TEXAS DALLAS,US,L,CO,VH,3,A,23.0,401,26.1,401,16.2,401,79.3,86,15.6,401,70.9,167,35.4
366,356,WASHINGTON STATE UNIVERSITY,US,L,FC,VH,5,A,36.8,345,20.8,401,32.2,401,37.2,334,72.3,182,19.7,401,35.4
369,388,HERIOT-WATT UNIVERSITY,GB,M,CO,VH,3,A,19.0,401,46.0,323,35.3,401,30.7,392,96.5,55,99.3,23,35.3
370,401,POLITECNICO DI TORINO,IT,L,FO,VH,5,A,42.9,272,68.6,147,9.5,401,30.7,391,2.8,401,57.8,215,35.2
370,346,UNIVERSITÄT BREMEN,DE,L,CO,VH,3,A,39.7,314,28.1,401,47.9,325,20.3,401,20.6,401,35.1,368,35.2
372,361,XI'AN JIAOTONG UNIVERSITY,CN,L,FC,VH,5,A,27.6,401,54.3,254,72.9,156,14.6,401,9.7,401,9.5,401,35.1
373,401,TILBURG UNIVERSITY,NL,M,FO,VH,4,A,33.5,376,58.6,220,21.9,401,27.2,401,83.3,137,28.4,401,34.8
374,379,BIRKBECK COLLEGE UNIVERSITY OF LONDON,GB,M,FO,VH,5,A,35.4,356,16.2,401,17.0,401,34.1,357,92.3,89,78.8,128,34.7
374,401,OXFORD BROOKES UNIVERSITY,GB,L,CO,HI,5,A,36.5,349,62.9,187,23.2,401,9.4,401,60.5,221,83.7,110,34.7
376,401,JAGIELLONIAN UNIVERSITY,PL,XL,CO,VH,5,A,42.5,278,49.5,296,48.3,319,10.4,401,5.7,401,9.0,401,34.6
376,401,UNIVERSITY OF KANSAS,US,L,FC,VH,5,A,23.5,401,25.3,401,66.0,182,34.4,355,23.3,401,25.3,401,34.6
376,395,UNIVERSITY OF TAMPERE,FI,M,CO,VH,4,A,28.8,401,32.6,401,62.2,202,27.7,401,25.2,391,8.7,401,34.6
379,401,UNIVERSITÀ DEGLI STUDI DI FIRENZE (UNIFI),IT,XL,FC,VH,4,A,49.3,229,22.5,401,24.2,401,31,385,10.6,401,17.0,401,34.5
380,401,DEAKIN UNIVERSITY,AU,XL,FC,HI,3,A,34.5,365,52.1,268,14.4,401,21.7,401,91.4,95,69.5,176,34.4
380,366,UNIVERSITY OF CONNECTICUT,US,L,FC,VH,5,A,22.3,401,22.7,401,27.3,401,63.5,156,79.0,157,18.5,401,34.4
380,348,UNIVERSITY OF THE PHILIPPINES,PH,XL,FC,MD,5,A,47.4,246,65.0,172,39.9,401,3,401,2.3,401,2.5,401,34.4
383,401,UNIVERSIDAD POLITECNICA DE VALENCIA,ES,L,CO,VH,3,A,34.7,363,49.5,298,56.0,247,14.3,401,7.5,401,16.0,401,34.2
384,451,SUN YAT-SEN UNIVERSITY,CN,XL,FC,VH,4,A,42.6,277,40.2,388,29.0,401,29.2,401,13.5,401,11.8,401,34.1
385,378,UNIVERSITÉ MONTPELLIER 2 SCIENCES ET TECHNIQUES DU LANGUEDOC,FR,L,FO,VH,5,A,27.1,401,19.0,401,36.3,401,54.8,220,16.2,401,40.9,324,33.9
386,367,MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS (MGIMO-UNIVERSITY),RU,M,FO,LO,4,A,15.8,401,46.0,324,98.7,38,1,401,8.3,401,48.7,271,33.8
387,401,STELLENBOSCH UNIVERSITY,ZA,L,FC,HI,5,A,42.2,287,43.0,354,16.8,401,32.4,372,27.8,381,22.8,401,33.7
387,309,TULANE UNIVERSITY,US,M,FC,VH,5,B,17.0,401,10.4,401,67.9,174,49.4,249,16.3,401,29.0,401,33.7
389,451,POLITÉCNICA DE MADRID,ES,L,SP,VH,3,A,32.7,396,58.4,224,51.1,290,7.7,401,2.9,401,52.9,241,33.6
390,,INSTITUTO TECNOLÓGICO DE BUENOS AIRES (ITBA),AR,S,CO,MD,4,C,21.8,401,42.8,356,98.1,41,1.4,401,7.9,401,2.3,401,33.5
390,375,LA TROBE UNIVERSITY,AU,L,CO,VH,3,A,33.3,383,38.1,401,24.9,401,17,401,80.9,152,77.2,134,33.5
390,351,UNIVERSITÉ PAUL SABATIER TOULOUSE III,FR,XL,CO,HI,5,A,43.7,268,,,43.7,378,23.7,401,15.7,401,33.0,379,33.5
390,401,UNIVERSITY OF TENNESSEE,US,L,FC,VH,5,A,18.0,401,29.7,401,52.0,285,57.8,196,13.8,401,11.1,401,33.5
394,365,COLORADO STATE UNIVERSITY,US,L,CO,VH,5,A,26.1,401,43.9,346,15.4,401,68.5,121,23.8,398,10.5,401,33.4
394,373,KARL-FRANZENS-UNIVERSITÄT GRAZ,AT,L,FO,VH,5,A,40.7,302,30.3,401,19.4,401,27.3,401,61.4,219,30.3,401,33.4
394,355,UNIVERSITÄT DÜSSELDORF,DE,L,FC,HI,3,A,22.6,401,18.0,401,48.4,317,52.5,235,5.9,401,38.7,342,33.4
397,451,NORTHEASTERN UNIVERSITY,US,L,CO,VH,5,B,21.5,401,56.3,232,34.9,401,36.5,342,12.5,401,80.3,121,33.3
397,451,UNIVERSITÀ DEGLI STUDI DI NAPOLI FEDERICO II,IT,XL,FC,VH,5,A,42.7,274,26.3,401,8.6,401,57.7,198,1.8,401,2.1,401,33.3
399,345,ASTON UNIVERSITY,GB,M,CO,VH,3,A,21.5,401,46.7,315,26.4,401,25.8,401,93.8,77,93.1,68,33.2
399,401,UNIVERSITÀ DEGLI STUDI DI TORINO (UNITO),IT,XL,FC,VH,5,A,41.0,301,27.4,401,11.8,401,52.6,232,4.8,401,17.1,401,33.2
